x,y,z
3.61023,0.644824,3.95688
4.72708,-0.0313155,4.06883
-1.21435,1.65811,1.70967
0.724198,2.71996,2.8105
4.7825,0.0394879,3.85037
4.83051,0.108719,3.62318
4.03426,0.382155,4.02576
2.96793,0.969566,4.06134
2.97619,1.05167,3.87991
3.58877,0.813264,3.61308
3.89911,1.52313,1.63475
4.22118,1.35246,1.61629
4.10605,1.42117,1.6062
5.11411,-0.349432,4.28731
5.15827,2.99994,2.06873
-0.823588,-1.41883,1.73666
4.48994,0.360787,3.48232
-0.844797,1.87919,1.96547
4.50719,0.488645,3.16606
0.738835,2.53736,2.80337
4.0547,0.294137,4.20106
3.38892,1.03222,3.39413
3.87912,0.610334,3.7009
3.9817,1.62691,1.5183
2.75606,1.19227,3.8437
6.35486,3.12919,2.47587
-1.06154,-0.77742,1.50223
4.19981,0.622155,3.26417
4.50583,0.791297,2.4732
2.94118,1.38912,3.14567
5.94262,4.66929,2.57686
4.25702,0.931727,2.47956
-0.816193,1.58702,1.6697
3.91983,0.990647,2.80215
3.40675,0.929379,3.59333
